"","id","name","date_from","date_to","lat_end","lon_end","species_count","taxon_count","record_count","imis_dasid","date_last_harvested"
"141",140,"Bluefish",1983,2006,38.095,13.367,183,221,7664,1982,"9/12/2006 0:00:00"
"142",128,"Bluefish",1888,2009,79.12,179.374,3496,3961,44343,3772,"9/1/2009 0:00:00"
"143",1506,"Bluefish",1986,2010,35.229,-75.52,378,402,184411,3391,"5/22/2011 0:00:00"
"144",3410,"Bluefish",1981,2007,30.68,-87.398,190,201,565188,4878,"9/30/2016 21:55:03"
"145",30,"Bluefish",1903,2000,56,55,101,148,4089,4132,"10/31/2011 0:00:00"
"146",2546,"Bluefish",1905,2006,90,180,2886,4401,3181610,4099,""
"147",2411,"Bluefish",1965,1992,7.767,-29.35,313,480,17519,3721,"10/10/2016 13:05:49"
"148",73,"Bluefish",1846,2005,76,178.833,4833,5334,118181,3657,"11/12/2005 0:00:00"
"149",3414,"Bluefish",2007,2013,41.436,-70.868,191,219,37190,4883,"4/24/2016 23:45:09"
"150",1665,"Bluefish",1973,1980,35.28,-75.12,207,436,7669,3847,"7/12/2010 0:00:00"
"151",2607,"Bluefish",1966,2003,34.567,35.583,766,846,24314,3474,"9/28/2016 16:30:42"
"152",4258,"Bluefish",2005,2013,39.692,-13.619,19,21,728,4674,"9/29/2016 5:00:11"
"153",1545,"Bluefish",0,0,30.419,-82.341,12878,13474,126292,3399,"1/12/2010 0:00:00"
"154",161,"Bluefish",1983,2006,-23.11,42.75,487,700,201741,3762,"11/4/2006 0:00:00"
"155",71,"Bluefish",1706,2005,31.95,147.75,16166,18344,48349,3446,"1/6/2007 0:00:00"
"156",2432,"Bluefish",0,0,76.556,179.55,1783,1871,9631,3676,""
"157",268,"Bluefish",1840,2007,80.2,179.9,8131,9636,114408,1984,"7/17/2008 0:00:00"
"158",1663,"Bluefish",1979,1979,32.79,-78.38,223,377,1995,3841,"7/12/2010 0:00:00"
"159",3560,"Bluefish",1965,1978,-6.635,168.143,890,1146,74788,4773,"9/30/2016 13:22:47"
"160",29,"Bluefish",1905,2015,85.808,145.833,1995,2747,139692,4108,"9/29/2016 17:20:50"
"161",105,"Bluefish",1996,2002,-22.367,-37.579,183,188,4129,3718,"10/10/2016 12:50:39"
"162",1502,"Bluefish",1905,2009,37.102,-16.14,3239,4248,34733,3402,"9/28/2009 0:00:00"
"163",4309,"Bluefish",1997,2015,39.673,-24.727,69,75,5775,5398,"9/29/2016 5:59:39"
"164",1522,"Bluefish",1999,2000,-13.135,-38.248,280,316,426,3722,"10/10/2016 13:39:37"
"165",2318,"Bluefish",2001,2005,39,-73,50,56,517,3679,"2/16/2011 0:00:00"
"166",75,"Bluefish",1842,2005,62.7,179.983,1179,1182,9413,3783,"11/14/2005 0:00:00"
"167",1659,"Bluefish",1973,1980,35.36,-74.95,411,530,16826,3394,"7/12/2010 0:00:00"
"168",3215,"Bluefish",1985,2010,-5.09,13.85,592,970,65243,4728,"10/4/2016 16:21:35"
"169",1660,"Bluefish",1973,1980,35.27,-75.1,199,455,10395,3834,"7/12/2010 0:00:00"
"170",2893,"Bluefish",1970,2003,3.322,10,682,867,3248,4026,"10/10/2016 12:54:08"
"171",82,"Bluefish",0,0,44.142,156.883,508,510,3286,3796,"11/15/2005 0:00:00"
"172",3849,"Bluefish",0,0,29.32,140,644,665,1983,NA,"10/6/2016 18:25:17"
"173",32,"Bluefish",0,0,85.808,0,1360,1750,43352,4126,""
"174",32,"Golden Tilefish",0,0,85.808,0,1360,1750,43352,4126,""
"175",268,"Golden Tilefish",1840,2007,80.2,179.9,8131,9636,114408,1984,"7/17/2008 0:00:00"
"176",1663,"Golden Tilefish",1979,1979,32.79,-78.38,223,377,1995,3841,"7/12/2010 0:00:00"
"177",36,"Golden Tilefish",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"178",2417,"Golden Tilefish",1891,2011,86.017,179.756,4043,6034,104844,4017,"10/6/2011 0:00:00"
"179",237,"Golden Tilefish",1970,2015,47.933,-56.471,272,376,163619,4130,"9/29/2016 18:02:42"
"180",2419,"Golden Tilefish",1975,2010,60.22,174.784,761,788,2874,4015,"9/28/2016 22:38:13"
"181",230,"Golden Tilefish",1903,1909,41.75,-69.79,1305,1433,46294,3436,"2/6/2008 0:00:00"
"182",721,"Golden Tilefish",1804,2005,80.2,180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"183",1661,"Golden Tilefish",1983,2000,32.73,-78.09,28,30,277,3835,"7/12/2010 0:00:00"
"184",1659,"Golden Tilefish",1973,1980,35.36,-74.95,411,530,16826,3394,"7/12/2010 0:00:00"
"185",30,"Golden Tilefish",1903,2000,56,55,101,148,4089,4132,"10/31/2011 0:00:00"
"186",1660,"Golden Tilefish",1973,1980,35.27,-75.1,199,455,10395,3834,"7/12/2010 0:00:00"
"187",1664,"Golden Tilefish",1983,1986,32.84,-77.98,27,28,355,3844,"7/12/2010 0:00:00"
"188",1666,"Golden Tilefish",1979,2000,34.19,-76.12,22,22,245,3850,"7/12/2010 0:00:00"
"189",2319,"Golden Tilefish",1875,2009,88.85,165.895,1090,2255,169236,3943,"2/17/2011 0:00:00"
"190",1435,"Golden Tilefish",1948,2008,44.867,-63.333,723,1033,460938,3406,"5/21/2009 0:00:00"
"191",3511,"Golden Tilefish",1643,2015,79.964,179.803,4475,6521,85257,5006,"4/25/2016 6:26:53"
"192",1545,"Golden Tilefish",0,0,30.419,-82.341,12878,13474,126292,3399,"1/12/2010 0:00:00"
"193",2303,"haddock",1949,2003,65.869,65.953,87,91,140076,2784,"9/29/2016 6:07:55"
